id,species,undet,ad_m,ad_f,ad_u,sub_m,sub_f,sub_u,juv_m,juv_f,juv_u,count,distance,angle,odometer,lat,lon,notes
8.1,elephant,,,4,,,,,,,,4,121,90,5.47,-19.096917,23.525402,
8.1,elephant,2,,,,,,,,,,2,95,90,5.65,-19.096434,23.526949,
8.1,impala,,,11,,2,,,,,,13,28,90,5.75,-19.096239,23.527805,
8.1,elephant,,3,12,,,,,,,4,19,40,40,5.96,-19.096138,23.527805,
8.1,elephant,,1,,,,,,,,,1,114,40,6.95,-19.101703,23.535632,
8.1,impala,,,,,5,,,,,,5,86,90,8.49,-19.111687,23.543299,
8.1,zebra,3,,,,,,,,,,3,179,90,8.71,-19.110938,23.545131,
8.1,wildebeest,12,,,,,,,,,,12,179,90,8.71,-19.110938,23.545131,
8.1,banded_mon,3,,,,,,,,,,3,44,30,10.82,-19.115772,23.5614,
8.2,impala,,1,,,,,,,,,1,72,90,,-19.116663,23.551243,
8.2,waterbuck,,,,2,,,1,,,,3,18,60,,-19.114346,23.549221,
8.2,impala,,1,,37,2,,,,,,40,196,90,,-19.114197,23.547208,
8.2,wildebeest,,,,14,,,,,,,14,171,40,,-19.114197,23.547208,
8.2,zebra,,,,5,,,,,,,5,169,40,,-19.114197,23.547208,
8.2,warthog,,,,5,,,,,,,5,240,40,,-19.114197,23.547208,
8.2,lion,,,3,,,,,,,5,8,1,45,,-19.114756,23.546119,
8.2,hippo,,,,1,,,,,,,1,104,90,,-19.1148,23.546119,
8.2,impala,,,,18,,,,,,,18,89,0,,-19.116422,23.532604,
8.2,cape_buffalo,,1,,,,,,,,,1,91,45,,-19.116422,23.532604,
8.2,warthog,,,,2,,,,,,,2,133,90,,-19.116422,23.532604,
8.2,elephant,,1,,,,,,,,,1,220,45,,-19.116971,23.530697,
8.2,elephant,,2,,,,,,,,,2,19,45,,-19.118044,23.528388,
8.2,impala,,,,18,,,,,,,18,34,0,,-19.117821,23.526063,
8.2,elephant,,,,14,,,,,,6,20,135,45,,-19.117821,23.526063,
8.2,hippo,,,,13,,,,,,,13,71,30,,-19.118536,23.524834,
8.2,elephant,,,14,,,3,,,,10,27,135,0,,-19.118536,23.524834,
8.2,warthog,,,,1,,,,,,,1,109,0,,-19.118536,23.524834,
8.2,waterbuck,,,,2,,,,,,1,3,107,0,,-19.119027,23.521925,
8.2,zebra,,,,17,,,,,,1,18,50,0,,-19.119027,23.521925,
8.2,impala,,,10,3,4,,,,,,17,70,0,,-19.119187,23.517893,
8.2,vervet,,1,,2,,,,,,2,5,17,0,,-19.118994,23.516599,
9.1,lechwe,,1,,,,,,,,,1,176,45,0,-19.117249,23.511746,
9.1,impala,,,,,4,,,,,,4,172,65,0.7,-19.117141,23.511041,
9.1,zebra,16,,,,,,,,,,16,123,90,2.77,-19.100529,23.50459,
9.1,kudu,1,,1,,,,,,,,2,123,90,2.77,-19.100529,23.50459,
9.1,impala,,1,2,,,,,,,,3,114,90,2.77,-19.100529,23.50459,
9.1,steenbok,1,,,,,,,,,,1,28,90,2.94,-19.099157,23.504539,
9.1,steenbok,,1,,,,,,,,,1,30,90,3.17,-19.097687,23.505423,
9.1,impala,,1,7,,4,,,,,,12,70,30,3.24,-19.097902,23.506098,
9.1,steenbok,,,1,,,,,,,,1,60,90,3.95,-19.123426,23.533682,
9.1,elephant,4,,8,,3,,,,,3,18,120,90,4.86,-19.099433,23.519892,
9.1,elephant,2,,3,,,,,,,2,7,119,90,5.41,-19.09753,23.524457,
9.1,elephant,,,4,,,,,,,2,6,34,0,5.48,-19.097137,23.524809,
9.1,elephant,,,1,10,,,,,,,11,58,19,5.61,-19.096853,23.526021,
9.1,elephant,,,,1,,,,,,,1,113,80,5.81,-19.096326,23.527624,
9.1,impala,,7,,,3,,,,,,10,180,25,8.43,-19.111885,23.542234,
9.1,giraffe,,1,,,,,,,,,1,442,90,8.66,-19.111459,23.544395,
9.1,wildebeest,,1,,,,,,,,,1,320,80,8.66,-19.111459,23.544395,
9.1,impala,,2,,,,,,,,,2,320,30,8.66,-19.111459,23.544395,
9.1,impala,,2,,,,,,,,,2,40,10,8.86,-19.110485,23.545965,
9.1,impala,,4,,,1,,,,,,5,48,20,9.5,-19.1105,23.551272,
9.1,dw_mon,,,,3,,,,,,,3,12,90,9.81,-19.111079,23.554054,
9.1,impala,,2,,,,,,,,,2,56,15,10.66,-19.115498,23.559576,
9.2,leopard,,,1,,,,,,,,1,10,0,0.88,-19.119864,23.56857,"Nikki, dominant female, pee spot"
9.2,impala,,4,,,,,,,,,4,41,80,1.71,-19.121376,23.563363,
9.2,zebra,,1,7,,,,,,,3,11,99,70,1.85,-19.120577,23.562397,
9.2,zebra,,1,2,,,1,,,,,4,100,92,1.96,-19.120003,23.561455,
9.2,wildebeest,,1,,,,,,,,,1,135,90,3.77,-19.114206,23.54726,counted in previous transect
9.2,hippo,,,,1,,,,,,,1,167,90,3.77,-19.114206,23.54726,
9.2,crocodile,,,,2,,,,,,,2,167,90,3.77,-19.114206,23.54726,
9.2,warthog,,,1,,,,,,,,1,130,90,3.87,-19.114789,23.546234,
9.2,impala,,1,26,,1,,,,,,28,46,0,4.74,-19.115074,23.538677,
9.2,elephant,,,4,21,,,,,,6,31,668,90,4.92,-19.114882,23.538307,
9.2,giraffe,,,,2,,,,,,,2,690,90,4.92,-19.114882,23.538307,
9.2,elephant,,,12,,,,3,,,10,25,67,45,6.51,-19.118552,23.525157,
9.2,hippo,,,14,,,,,,,3,17,114,60,6.51,-19.118552,23.525157,
9.2,elephant,,,2,,2,,,,,,4,36,90,6.85,-19.119068,23.522084,
9.2,impala,,,,7,,,,,,,7,42,19,7.78,-19.118513,23.514215,
9.2,impala,,2,,,4,,,,,,6,142,15,8.05,-19.116911,23.512455,
10.1,zebra,,,,11,,,,,,1,12,100,45,0.26,-19.116725,23.509434,
10.1,giraffe,,,2,,,,,,,1,3,89,45,0.26,-19.1167,23.509434,
10.1,lechwe,,2,,,,,,,,,2,155,50,0.49,-19.116245,23.507365,
10.1,reedbuck,,,1,1,,,,,,,2,95,90,0.49,-19.116245,23.507365,
10.1,cape_buffalo,127,,,,,,,,,,127,114,35,1.43,-19.11306,23.501696,calves + adults
10.1,vervet,,,,2,,,,,,,2,66,50,0.216,-19.107547,23.50338,
10.1,wildebeest,,,,11,,,,,,,11,215,50,2.2,-19.105575,23.504829,
10.1,elephant,,,6,,,,1,,,5,12,303,25,2.23,-19.105575,23.504829,
